doc_id,file_path,title,source_url,retrieved_at,document_version,license_or_permission
01-academic-regulations,data/university/01-academic-regulations.md,Academic Regulation,https://daihoc.fpt.edu.vn/hoat-dong-nha-truong/tin-tuc-chung/quy-che-dao-tao-dai-hoc-chinh-quy/,2026-09-19,not-stated,public-source
02-fap-and-academic-procedures,data/university/02-fap-and-academic-procedures.md,Academic Services,https://daihoc.fpt.edu.vn/tin-tuc-chung-2/huong-dan-su-dung-cong-thong-tin-dao-tao-fap-cho-tan-sinh-vien-dai-hoc-fpt/,2026-09-19,not-stated,public-source
03-tuition-hcm,data/university/03-tuition-hcm.md,Tuition,https://daihoc.fpt.edu.vn/hoc-phi-tai-campus-tp-ho-chi-minh/,2026-09-19,not-stated,public-source
04-scholarship-faq,data/university/04-scholarship-faq.md,Scholarship,https://daihoc.fpt.edu.vn/hoc-bong/faq-hoc-bong/,2026-09-19,not-stated,public-source
05-student-services-hcm,data/university/05-student-services-hcm.md,Student Services,https://daihoc.fpt.edu.vn/hcm/lien-he/,2026-09-19,not-stated,public-source
06-campus-facilities-hcm,data/university/06-campus-facilities-hcm.md,Campus Services,https://daihoc.fpt.edu.vn/hcm/,2026-09-19,not-stated,public-source
07-ojt-regulations,data/university/07-ojt-regulations.md,Ojt,https://daihoc.fpt.edu.vn/thong-bao-huong-dan/ojt-spring-2026-thong-bao-tham-du-orientation-ojt/,2026-09-19,not-stated,public-source
08-ojt-registration,data/university/08-ojt-registration.md,Ojt Registration,https://daihoc.fpt.edu.vn/thong-bao-huong-dan/ojt-spring-2026-thong-bao-ve-viec-huong-dan-sinh-vien-dang-ky-doanh-nghiep-ojt/,2026-09-19,not-stated,public-source
09-international-exchange-hcm,data/university/09-international-exchange-hcm.md,International Exchange,https://daihoc.fpt.edu.vn/hcm/chuong-trinh-trao-doi-exchange/,2026-09-19,not-stated,public-source
10-departments-and-leadership-hcm,data/university/10-departments-and-leadership-hcm.md,Support Routing,https://daihoc.fpt.edu.vn/hcm/ban-lanh-dao-campus-hcm/,2026-09-19,not-stated,public-source
